,VIF
mean_synchrony,35.26542050728305
peak_amplitude,1.356957409837935
dwell_time,50.88297546697728
switching_rate,17.978608270770106
bimodality_coefficient,4.773459384773155
onset_latency,1.0404745958898718
rise_time,1.06948889526494
recovery_time,1.1493085781510808
synchrony_entropy,4.881401207104908
