,VIF
onset_latency,1.1021792507235635
rise_time,1.1133349312979444
peak_amplitude,3.9972868879768826
recovery_time,1.0508535175796794
mean_synchrony,4.251364040613872
synchrony_entropy,1.3005221689628454
