,onset_latency,rise_time,peak_amplitude,recovery_time,mean_synchrony,synchrony_entropy
onset_latency,1.0,-0.279199169552845,-0.19212436728593166,0.05198810213455351,-0.21026408680228578,0.10121739447555134
rise_time,-0.279199169552845,1.0,0.08449712556924363,-0.056222280332430256,0.036848243543179095,0.04790945555809199
peak_amplitude,-0.19212436728593166,0.08449712556924363,1.0,-0.1621385777391446,0.87066021625705,0.1278699055167609
recovery_time,0.05198810213455351,-0.056222280332430256,-0.1621385777391446,1.0,-0.3175886433608579,0.14770156461206532
mean_synchrony,-0.21026408680228578,0.036848243543179095,0.87066021625705,-0.3175886433608579,1.0,0.060467415498392
synchrony_entropy,0.10121739447555134,0.04790945555809199,0.1278699055167609,0.14770156461206532,0.060467415498392,1.0
