,mean_synchrony,peak_amplitude,dwell_time,switching_rate
mean_synchrony,1.0,0.5647992225867253,0.5498311277313147,0.6150785031930767
peak_amplitude,0.5647992225867253,1.0,0.8088168236692012,0.819629070652001
dwell_time,0.5498311277313147,0.8088168236692012,1.0,0.3090480073073806
switching_rate,0.6150785031930767,0.819629070652001,0.3090480073073806,1.0
