id,dyad,modality,condition,hz,n_samples,wcc_json
1682_6831__radial__exp3,1682_6831,radial,exp3,2.0,22,"[0.711989, 0.435455, -0.179026, -0.077978, 0.028691, 0.094065, -0.169267, -0.341484, 0.086347, 0.256944, -0.240417, -0.429968, -0.08271, 0.538572, -0.056105, -0.196967, -0.210189, -0.238198, 0.209411, 0.311747, 0.289191, 0.537908]"
1682_6831__angular__exp4,1682_6831,angular,exp4,2.0,22,"[0.015846, -0.074188, 0.28342, 0.224442, -0.283067, -0.479445, -0.368222, -0.263727, -0.292256, -0.4149, -0.463834, -0.581501, -0.559814, -0.391599, -0.405993, -0.105969, -0.400927, -0.21118, -0.04048, -0.37688, -0.520592, -0.376291]"
1756_5474__angular__exp1,1756_5474,angular,exp1,2.0,22,"[-0.352879, -0.360562, -0.528539, -0.522171, -0.18357, -0.153089, -0.550787, -0.617276, -0.437898, -0.240671, 0.084598, 0.035305, -0.093634, -0.073687, -0.064943, -0.196911, -0.236073, 0.089428, 0.015288, -0.335989, -0.072678, 0.022925]"
1756_5474__radial__exp1,1756_5474,radial,exp1,2.0,22,"[-0.201237, -0.263818, null, -0.224768, 0.017953, 0.185895, -0.128256, -0.124153, -0.086477, 0.069518, 0.453848, -0.0, null, -0.0, -0.0, -0.124628, -0.138233, null, -0.125977, -0.28878, -0.178993, -0.0]"
1756_5474__angular__exp2,1756_5474,angular,exp2,2.0,22,"[-0.767545, -0.681184, -0.578292, 0.163472, 0.038857, -0.15953, -0.242908, -0.254571, 0.176376, -0.193995, -0.592741, -0.205068, -0.429445, -0.757673, -0.596639, -0.528882, -0.587457, -0.250284, -0.447073, -0.77171, -0.553577, -0.584032]"
1756_5474__radial__exp2,1756_5474,radial,exp2,2.0,22,"[null, null, null, null, null, null, null, null, -0.0, -0.0, null, null, null, null, null, null, null, 0.923535, 0.923535, null, null, null]"
1756_5474__angular__exp3,1756_5474,angular,exp3,2.0,22,"[-0.351813, -0.090106, 0.244378, 0.138062, 0.015564, -0.139528, 0.198365, 0.027306, -0.045437, -0.043828, -0.470168, -0.291808, -0.141845, 0.011761, -0.267869, -0.539885, -0.520758, -0.241788, -0.094273, -0.088687, -0.24987, -0.173082]"
1756_5474__radial__exp3,1756_5474,radial,exp3,2.0,22,"[null, -0.0, -0.0, null, null, null, null, null, null, -0.068107, null, 0.971864, -0.029186, 0.081774, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
1756_5474__angular__exp4,1756_5474,angular,exp4,2.0,22,"[-0.311139, -0.319855, -0.271553, -0.403281, -0.173398, -0.027721, -0.060711, 0.023333, 0.019456, -0.555472, -0.638754, -0.371573, -0.302448, -0.325341, -0.303672, 0.212594, 0.244687, 0.084194, -0.360282, -0.447127, -0.086314, -0.195137]"
1756_5474__radial__exp4,1756_5474,radial,exp4,2.0,22,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 0.431077, 0.431077, null, null, null]"
1966_9908__angular__exp1,1966_9908,angular,exp1,2.0,22,"[-0.111944, -0.369823, -0.403993, 0.115695, -0.258938, -0.062786, -0.038378, -0.437734, -0.272583, -0.070347, 0.277678, 0.110852, -0.496216, -0.264159, -0.003723, -0.307476, -0.16884, -0.197757, -0.358451, -0.216534, -0.064089, -0.116357]"
1966_9908__radial__exp1,1966_9908,radial,exp1,2.0,22,"[null, null, null, null, null, null, null, null, null, null, null, null, null, -0.425988, -0.647478, -0.72949, null, null, null, null, -0.120373, 0.136173]"
1966_9908__angular__exp2,1966_9908,angular,exp2,2.0,22,"[0.053385, -0.002123, 0.100638, 0.423778, 0.256733, 0.460697, 0.836764, 0.707496, 0.648718, 0.682127, 0.415209, 0.154801, 0.521229, 0.4842, 0.144821, 0.2156, 0.29585, 0.385421, 0.317603, -0.466309, -0.121719, 0.123104]"
1966_9908__radial__exp2,1966_9908,radial,exp2,2.0,22,"[null, null, null, null, null, null, null, null, -0.0, -0.0, null, null, null, null, null, null, null, null, null, null, null, null]"
1966_9908__angular__exp3,1966_9908,angular,exp3,2.0,22,"[-0.042732, -0.214458, -0.081828, -0.231647, -0.243813, -0.264442, -0.627783, -0.601684, -0.407678, -0.259283, -0.268294, -0.408757, -0.349603, -0.163282, 0.255309, 0.169784, 0.02471, -0.004537, -0.038445, 0.057455, -0.104517, -0.312263]"
1966_9908__radial__exp3,1966_9908,radial,exp3,2.0,22,"[null, null, -0.247681, -0.34065, 0.207077, 0.48743, 0.297489, 0.481949, 0.485246, 0.398107, 0.643428, null, -0.110087, -0.335514, -0.266049, -0.305114, 0.0, -0.172295, null, 0.574598, 0.457896, 0.558823]"
1966_9908__angular__exp4,1966_9908,angular,exp4,2.0,22,"[0.183703, 0.144789, 0.004364, 0.405728, 0.680519, 0.217903, -0.163621, 0.087275, 0.15312, -0.20515, -0.133258, 0.048065, 0.091401, 0.093838, 0.157828, -0.06623, -0.14508, -0.103147, -0.529202, -0.486912, -0.155241, -0.390799]"
1966_9908__radial__exp4,1966_9908,radial,exp4,2.0,22,"[null, null, null, null, null, null, null, null, -0.0, -0.0, null, null, null, null, null, null, null, -0.217888, -0.217888, null, null, null]"
2082_5483__angular__exp1,2082_5483,angular,exp1,2.0,22,"[-0.445633, -0.254981, -0.300587, -0.046279, -0.163035, -0.633567, -0.198099, 0.115627, -0.281741, -0.268041, -0.088495, 0.053658, -0.086105, -0.346328, -0.568453, -0.83668, -0.853781, -0.792922, -0.635983, -0.019148, -0.241363, -0.690984]"
2082_5483__radial__exp1,2082_5483,radial,exp1,2.0,22,"[-0.0, -0.190626, -0.0, null, null, null, null, null, null, -0.233263, -0.112425, 0.17876, null, null, null, null, null, null, 0.431336, 0.32795, -0.28968, null]"
2082_5483__angular__exp2,2082_5483,angular,exp2,2.0,22,"[-0.568227, -0.836163, -0.389057, -0.270778, -0.122099, 0.185746, -0.115601, -0.348788, -0.290416, -0.464604, -0.44807, -0.264357, -0.453193, -0.11393, -0.121483, 0.044672, -0.036428, -0.361581, 0.025353, 0.037356, -0.093125, 0.142578]"
2082_5483__angular__exp3,2082_5483,angular,exp3,2.0,22,"[0.251865, -0.089443, -0.191981, -0.319123, -0.109828, -0.131407, 0.049439, 0.418518, 0.631888, 0.298302, 0.080735, 0.412808, 0.549715, 0.229072, -0.260283, 0.305525, 0.41786, -0.135691, 0.008857, 0.310802, 0.169332, 0.359238]"
2082_5483__radial__exp3,2082_5483,radial,exp3,2.0,22,"[-0.212612, -0.35872, -0.150677, -0.302633, -0.213761, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, -0.06938, 0.05393]"
2082_5483__angular__exp4,2082_5483,angular,exp4,2.0,22,"[0.18057, -0.483087, -0.510076, -0.178146, 0.164565, -0.013052, 0.033381, 0.372362, 0.087888, -0.069227, -0.105155, -0.306771, -0.781844, -0.817433, -0.603968, -0.192507, -0.121606, 0.093539, -0.189623, -0.300898, 0.313782, -0.006532]"
2271_7957__angular__exp1,2271_7957,angular,exp1,2.0,22,"[-0.946095, -0.985615, -0.982814, -0.957959, -0.939676, -0.787145, -0.629877, -0.337591, -0.411295, -0.879066, -0.982168, -0.974209, -0.971284, -0.940876, -0.524542, 0.090864, 0.191687, 0.28174, 0.106288, -0.329272, -0.784812, -0.876813]"
2271_7957__radial__exp1,2271_7957,radial,exp1,2.0,22,"[null, null, null, null, null, null, null, -0.0, -0.0, null, null, null, null, null, -0.0, -0.0, 0.0, -0.094048, -0.094048, -0.0, -0.0, null]"
