id,dyad,modality,condition,hz,n_samples,wcc_json
pce01__RESP__rest1,pce01,RESP,rest1,1.0,151,"[0.242498, 0.266196, 0.275336, 0.270271, 0.27596, 0.24467, 0.17376, 0.149652, 0.097389, 0.039629, -0.006061, 0.026433, -0.045092, -0.036773, -0.020593, -0.087747, -0.043956, -0.054777, -0.067502, -0.023999, -0.078397, -0.06364, -0.137068, -0.142269, -0.112043, -0.114826, -0.012662, 0.003356, 0.079312, 0.027489, 0.079286, -0.033271, -0.064768, -0.098448, -0.122162, -0.122231, -0.017835, -0.017983, 0.065007, 0.045576, 0.070708, -0.085675, 0.007983, -0.051924, -0.009854, -0.004474, -0.086081, -0.117719, -0.155763, -0.184907, -0.166707, -0.122731, -0.068136, -0.031591, -0.026659, -0.002418, -0.058633, -0.135312, -0.188055, -0.226056, -0.208219, -0.178744, -0.102104, -0.058225, -0.003621, 0.016544, 0.042018, 0.027899, 0.030302, -0.007996, -0.01236, -0.005519, -0.050228, -0.017766, -0.067372, -0.105707, -0.060826, -0.043106, 0.115393, 0.128918, 0.162208, 0.064912, 0.041039, -0.038836, 0.041536, 0.040784, 0.093623, 0.12958, 0.144691, 0.198801, 0.207812, 0.242064, 0.255283, 0.235671, 0.240946, 0.213462, 0.18995, 0.157772, 0.138245, 0.163437, 0.180257, 0.224677, 0.263565, 0.269958, 0.303417, 0.320384, 0.330885, 0.323554, 0.272546, 0.246705, 0.217916, 0.293518, 0.319729, 0.436512, 0.421304, 0.427271, 0.40868, 0.385849, 0.385532, 0.378107, 0.354024, 0.355393, 0.356517, 0.404497, 0.425059, 0.464747, 0.490633, 0.571304, 0.598175, 0.62565, 0.574435, 0.590562, 0.560422, 0.495114, 0.510023, 0.471613, 0.471864, 0.473579, 0.46217, 0.433309, 0.438128, 0.406992, 0.379485, 0.386569, 0.288465, 0.328708, 0.298996, 0.341623, 0.312801, 0.296805, 0.287484]"
pce01__RESP__trials_concat,pce01,RESP,trials_concat,1.0,1051,"[0.021806, 0.060163, 0.062725, -0.059213, -0.050102, -0.054332, -0.040009, -0.045537, 0.011018, 0.008702, -0.005358, -0.08274, -0.044067, 0.078758, 0.03675, 0.031892, -0.000412, 0.022079, -0.025505, -0.03259, -0.017038, 0.055268, 0.079987, 0.019677, -0.017599, 0.028798, 0.07298, 0.045152, -0.029252, -0.012989, -0.023169, -0.07, -0.096817, -0.044941, 0.006505, -0.003256, 0.097677, 0.112459, 0.138126, 0.141309, 0.154574, 0.294878, 0.258836, 0.230597, 0.256321, 0.267441, 0.191936, 0.173402, 0.215843, 0.236748, 0.221863, 0.166334, 0.11544, 0.171168, 0.269335, 0.187209, 0.192326, 0.219713, 0.241583, 0.241343, 0.327296, 0.327118, 0.365181, 0.373955, 0.301497, 0.321685, 0.215472, 0.129306, 0.220693, 0.227913, 0.199708, 0.151605, 0.116027, 0.131297, 0.214601, 0.181791, 0.234526, 0.147861, 0.165078, 0.189242, 0.202246, 0.264503, 0.185127, 0.205, 0.149486, 0.144227, 0.20179, 0.074714, 0.10431, 0.119396, 0.107937, 0.017154, 0.067424, 0.236852, 0.12955, 0.057906, 0.058606, 0.094496, 0.046534, 0.034799, 0.03894, 0.033818, 0.07357, 0.051594, 0.010386, 0.031386, 0.024834, 0.078528, 0.059131, 0.025031, 0.010718, 0.006322, 0.050144, 0.039588, 0.03832, 0.059452, 0.045908, 0.130486, 0.111512, 0.099212, 0.050055, 0.134073, 0.127122, -0.11566, 0.023867, 0.074306, 0.081163, 0.096783, 0.060962, 0.050798, 0.006866, 0.021794, 0.008111, 0.009181, 0.019547, -0.012126, 0.025859, 0.037505, -0.001751, 0.013778, 0.013851, -0.015854, -0.085953, -0.072923, -0.069945, -0.037535, -0.030545, 0.07981, 0.011664, 0.021403, 0.007933, -0.020763, 0.004944, 0.000997, -0.00858, 0.09306, 0.038213, 0.013906, 0.027013, 0.063088, 0.095341, 0.105071, 0.095942, 0.104895, 0.1051, 0.122726, 0.075071, 0.03219, 0.058488, 0.050751, 0.077465, 0.089991, 0.12385, 0.126256, 0.122999, 0.080197, 0.073373, -0.001608, 0.060433, 0.053843, 0.068536, 0.059343, 0.047075, 0.047034, 0.088403, -0.049343, 0.007828, 0.043141, 0.061541, 0.000131, -0.019582, -0.106155, -0.115434, -0.137224, -0.124942, -0.177795, -0.176082, -0.08794, -0.098834, -0.079919, -0.188176, -0.187965, -0.13005, -0.15196, -0.152249, -0.129499, -0.137606, -0.025936, -0.046928, -0.104649, -0.20582, -0.126032, -0.195764, -0.298746, -0.305067, -0.29419, -0.322186, -0.374432, -0.347891, -0.361844, -0.352378, -0.35037, -0.362721, -0.365199, -0.358188, -0.335198, -0.316649, -0.354684, -0.357647, -0.348988, -0.321315, -0.341193, -0.373575, -0.366056, -0.369823, -0.375586, -0.357209, -0.441319, -0.437804, -0.420896, -0.347402, -0.365142, -0.32674, -0.217841, -0.175108, -0.177529, -0.017568, 0.08632, 0.005151, 0.042412, 0.03943, 0.174453, 0.170463, 0.089451, 0.080576, 0.0009, 0.066912, 0.075849, 0.0342, 0.046245, 0.041234, 0.118151, 0.133508, 0.023296, 0.043107, 0.088547, 0.098883, 0.10964, 0.108032, 0.10489, 0.08577, -0.01158, 0.166198, 0.218471, 0.212883, 0.226928, 0.211657, 0.151936, 0.168446, 0.14319, 0.160113, 0.140703, 0.129459, 0.167538, 0.160201, 0.16982, 0.162709, 0.138868, 0.163923, 0.150709, 0.150676, 0.142304, 0.132801, 0.193833, 0.178806, 0.165274, 0.158015, 0.140645, 0.142605, 0.138044, 0.181047, 0.251256, -0.012949, -0.118441, -0.106075, -0.163184, -0.177071, -0.108152, -0.098909, 0.002085, -0.105481, -0.118043, -0.155639, -0.1703, -0.078188, -0.064105, -0.115838, -0.05937, -0.089957, -0.03032, -0.027787, -0.065195, -0.090003, -0.155528, -0.052827, -0.0587, -0.0911, -0.161733, -0.171841, -0.238031, -0.242888, -0.25915, -0.421807, -0.426781, -0.455078, -0.462512, -0.475054, -0.451363, -0.446294, -0.488169, -0.480048, -0.458785, -0.450031, -0.457419, -0.495674, -0.452509, -0.440948, -0.455827, -0.454362, -0.493252, -0.49172, -0.484845, -0.441753, -0.432109, -0.463359, -0.442376, -0.404138, -0.308069, -0.287794, -0.251166, -0.262847, -0.242192, 0.104213, 0.096919, 0.160061, 0.156336, 0.222378, 0.276698, 0.334875, 0.371492, 0.395809, 0.356196, 0.396854, 0.399097, 0.393669, 0.352301, 0.283672, 0.318611, 0.328252, 0.345133, 0.340861, 0.27071, 0.239608, 0.227826, 0.263683, 0.264343, 0.221132, 0.116075, 0.085954, 0.090586, 0.067106, 0.140486, 0.091086, 0.004505, 0.027169, -0.067374, -0.036874, -0.083869, -0.058528, -0.08746, -0.094316, -0.085408, -0.131943, -0.132333, -0.095838, -0.09359, -0.055774, -0.075693, -0.077347, -0.095283, -0.068389, -0.009928, -0.041826, -0.039882, -0.096487, -0.057688, -0.040853, 0.00113, 0.003374, -0.012432, 0.054115, -0.028737, 0.041876, 0.120701, 0.100526, 0.259783, 0.148232, 0.193741, 0.18421, 0.189943, 0.182074, 0.099597, 0.127402, 0.12826, 0.048576, 0.098191, 0.071711, 0.105615, 0.102612, 0.070062, -0.016144, -0.113819, -0.073239, -0.07373, 0.013866, -0.07826, -0.148153, -0.175823, -0.167711, -0.099797, -0.083821, -0.086611, -0.111314, -0.023085, -0.02654, -0.015698, 0.166436, 0.095358, 0.154633, 0.225889, 0.238949, 0.295453, 0.264402, 0.217608, 0.252229, 0.229219, 0.247373, 0.205562, 0.19229, 0.231867, 0.281337, 0.371986, 0.324947, 0.297306, 0.290144, 0.334476, 0.383344, 0.358174, 0.314356, 0.323126, 0.299598, 0.295897, 0.272937, 0.206125, 0.257219, 0.254855, 0.071845, 0.121236, 0.00629, -0.06894, -0.070181, -0.153182, -0.137628, -0.076647, -0.084108, -0.064275, -0.139961, -0.143839, -0.096915, -0.140482, -0.105089, -0.154662, -0.160275, -0.124563, -0.14769, -0.187287, -0.192805, -0.172125, -0.146384, -0.072614, -0.075827, -0.109625, -0.162673, -0.174202, -0.23671, -0.222015, -0.195734, -0.206091, -0.183656, -0.223814, -0.22814, -0.183362, -0.212209, -0.21842, -0.235244, -0.231068, -0.175738, -0.151005, -0.189152, -0.205156, -0.215085, -0.202086, -0.167597, -0.191497, -0.237727, -0.125113, -0.111543, -0.120731, -0.155784, -0.312866, -0.245528, -0.216897, -0.145452, -0.105269, -0.05543, 0.035456, 0.003194, 0.029126, -0.007552, 0.073927, 0.111103, 0.086068, 0.128044, 0.143219, 0.139111, 0.178057, 0.182595, 0.141927, 0.080058, 0.111254, 0.112661, 0.090355, 0.128733, 0.098599, 0.20795, 0.240108, 0.305027, 0.30414, 0.359657, 0.408426, 0.362935, 0.342715, 0.337941, 0.311525, 0.279693, 0.243376, 0.308062, 0.303516, 0.316032, 0.3076, 0.28666, 0.274469, 0.254405, 0.238463, 0.247034, 0.246287, 0.238175, 0.264332, 0.290233, 0.294566, 0.291186, 0.302538, 0.300142, 0.303827, 0.222833, 0.180031, 0.100663, 0.145908, 0.103824, -0.006881, 0.020032, 0.104543, 0.122393, 0.140605, 0.156272, 0.153588, 0.022286, 0.016341, -0.033482, -0.020598, -0.011666, 0.068083, 0.096017, 0.052952, 0.072903, 0.005193, 0.036678, 0.00134, 0.00667, 0.012916, 0.011214, 0.02795, 0.018713, 0.045224, 0.113616, 0.082756, 0.053552, -0.017578, -0.026291, -0.031242, 0.050315, 4.7e-05, -0.016172, 0.042942, 0.091492, 0.078919, 0.020889, 0.042003, 0.159601, 0.078798, 0.080337, 0.024252, 0.072871, 0.158308, 0.046262, 0.065467, -0.010021, 0.026677, 0.056707, -0.001699, -0.033788, -0.063153, -0.031718, -0.001768, -0.014543, -0.048095, -0.032773, -0.068936, 0.026145, 0.024095, -0.100469, -0.185385, -0.308562, -0.33218, -0.354351, -0.348646, -0.340863, -0.266954, -0.324064, -0.304188, -0.178553, -0.149764, 0.128811, 0.09081, 0.121166, 0.148142, 0.159445, 0.165707, 0.171327, 0.186195, 0.174219, 0.177257, 0.15756, 0.158809, 0.152201, 0.201833, 0.207596, 0.216309, 0.192162, 0.197821, 0.20553, 0.250001, 0.346552, 0.344708, 0.327911, 0.345268, 0.333321, 0.329551, 0.336639, 0.337982, 0.294398, 0.293691, 0.112604, 0.120676, 0.156031, 0.039489, 0.053505, 0.015594, 0.086804, 0.086196, 0.213201, 0.192927, 0.214487, 0.189131, 0.239043, 0.211054, 0.222798, 0.224793, 0.213061, 0.160114, 0.0814, 0.096816, 0.096383, 0.20647, 0.164486, 0.185735, 0.184299, 0.148669, 0.189667, 0.259073, 0.299768, 0.24455, 0.252327, 0.284478, 0.304575, 0.292137, 0.246761, 0.238688, 0.212945, 0.223315, 0.112131, 0.112736, 0.110117, 0.124719, 0.101855, 0.031424, 0.016874, 0.07528, 0.087122, 0.096723, 0.125323, 0.113316, 0.110022, 0.095625, 0.100869, 0.036931, 0.071897, 0.068162, 0.060013, -0.014503, -0.067015, 0.039034, -0.018718, -0.016741, -0.105083, -0.063644, -0.056816, -0.04752, -0.069396, -0.099863, 0.013461, 0.006483, 0.002432, -0.046287, -0.030405, 0.029866, -0.014776, -0.104519, -0.133486, -0.103792, -0.058595, -0.070365, -0.065015, -0.123242, -0.076931, -0.009709, -0.124989, -0.084198, -0.125624, -0.146267, -0.153579, -0.31289, -0.274722, -0.221337, -0.17991, -0.176999, -0.156753, -0.208094, -0.167895, -0.060961, 0.024187, -0.031123, -0.034057, -0.016566, -0.044853, 0.051851, 0.079697, 0.080566, 0.064539, 0.052721, 0.00226, 0.007553, 0.041371, 0.081018, 0.076904, 0.063453, 0.06089, 0.044896, 0.033361, 0.05914, 0.047279, 0.096656, 0.079449, 0.056905, 0.032041, 0.030082, 0.050068, 0.077401, 0.06492, -0.007939, -0.078655, -0.026455, -0.019281, 0.002257, 0.005796, -0.082611, -0.036485, -0.055242, -0.001771, 0.000113, 0.08355, 0.093367, -0.007067, -0.065291, -0.071592, -0.021992, 0.020863, -0.038767, -0.018936, -0.086654, 0.024306, -0.016412, 0.151044, 0.185029, 0.157405, 0.156712, 0.043013, 0.05786, 0.057464, 0.122844, 0.143087, 0.107309, 0.092794, 0.095332, 0.170883, 0.098386, 0.104753, 0.079971, 0.07757, 0.079607, 0.076224, 0.092126, 0.129711, 0.025301, 0.023091, -0.070031, -0.034736, -0.017036, -0.008821, 0.037878, -0.008437, -0.008107, -0.159568, -0.190136, -0.128411, -0.113781, -0.052911, -0.119142, -0.075746, -0.101066, -0.094553, -0.077887, -0.120519, -0.121856, -0.219542, -0.133606, -0.193075, -0.169489, -0.145031, -0.160022, -0.129284, -0.147507, -0.146315, -0.087951, -0.105246, 0.031696, 0.024779, 0.034717, 0.026413, -0.040754, 0.004029, -0.013344, 0.076607, 0.218055, 0.199144, 0.208031, 0.197994, 0.223431, 0.201562, 0.202029, 0.189627, 0.219917, 0.220989, 0.216724, 0.247265, 0.220822, 0.233841, 0.197225, 0.179077, 0.231201, 0.202376, 0.213923, 0.21695, 0.220311, 0.265648, 0.156008, 0.135071, 0.134071, 0.091009, 0.109513, 0.086048, 0.090399, 0.074148, -0.119193, -0.082816, -0.120961, -0.129137, -0.106073, -0.111059, -0.072429, -0.087191, -0.162549, -0.089674, -0.088342, -0.083949, -0.077495, -0.065584, -0.026443, -0.046654, -0.09084, -0.085334, -0.027738, -0.03264, -0.020991, -0.044789, -0.035764, 0.005108, -0.012208, 0.122455, 0.114731, 0.135603, 0.13604, 0.075065, 0.008375, -0.099364, -0.132094, -0.08794, -0.07499, -0.050683, -0.025907, -0.032054, 0.00052, -0.034091, 0.02508, 0.043419, 0.040789, -0.008524, 0.043443, 0.066122, 0.122518, 0.026198, -0.011117, 0.014471, 0.008493, -0.024913, 0.032942, 0.015953, 0.074525, 0.030719, 0.003593, -0.010902, -0.023728, 0.03518, 0.070868, 0.132576, 0.142958, 0.110726, 0.117928, 0.102885, 0.097477, 0.107659, 0.109934, 0.119949, 0.07789, 0.083914, 0.080148, 0.116566, 0.067933, 0.06726, 0.060281, 0.152561, 0.162404, 0.096234, 0.146433, 0.25847, 0.196538, 0.219618, 0.134548, 0.219293, 0.325356, 0.281893, 0.32228, 0.273852, 0.298924, 0.318598, 0.281481, 0.324254, 0.348644, 0.319307, 0.304151, 0.324798, 0.301952, 0.349579, 0.358266, 0.273685, 0.230323, 0.105021, 0.201348, 0.218458, 0.187354, 0.192354]"
pce02__ECG__rest1,pce02,ECG,rest1,1.0,151,"[0.266202, 0.263738, 0.267782, 0.293688, 0.289762, 0.251352, 0.246025, 0.242675, 0.22059, 0.279747, 0.332066, 0.274018, 0.196909, 0.154215, 0.082425, 0.028899, -0.015233, -0.067236, -0.061719, -0.084872, -0.081817, -0.015092, 0.039902, 0.029405, 0.073698, 0.002588, -0.086146, -0.044113, -0.08226, -0.068403, -0.075824, -0.110116, -0.086177, -0.0681, -0.083556, -0.082752, -0.076956, -0.078012, -0.080052, -0.072177, -0.040126, -0.000348, -0.163164, -0.26296, -0.210612, -0.197305, -0.230557, -0.208848, -0.227805, -0.215452, -0.273921, -0.395286, -0.380995, -0.317003, -0.337878, -0.226375, -0.073209, -0.095303, -0.069364, -0.062558, -0.061858, -0.094314, -0.252501, -0.380017, -0.398939, -0.405853, -0.371548, -0.359052, -0.32809, -0.363632, -0.323872, -0.244589, -0.216644, -0.230216, -0.236776, -0.240101, -0.164281, -0.070304, -0.039485, -0.043096, -0.008822, 0.098715, 0.18294, 0.23458, 0.230391, 0.201188, 0.168317, 0.166607, 0.178222, 0.197734, 0.17364, 0.178847, 0.178775, 0.174233, 0.198911, 0.221423, 0.173556, 0.124702, 0.060293, 0.076479, 0.131355, 0.10759, 0.125127, 0.138924, 0.08683, 0.146886, 0.235948, 0.21767, 0.163762, 0.172694, 0.127263, 0.110804, 0.093122, 0.052118, 0.042348, 0.007542, -0.011375, 0.02677, 0.000446, -0.038757, 0.071843, 0.042094, -0.027689, -0.019729, -0.012642, -0.008615, 0.062884, 0.065879, 0.004352, -0.005557, -0.024824, -0.035695, -0.056453, -0.047192, -0.046066, -0.087089, -0.170431, -0.196732, -0.147794, -0.17935, -0.140342, -0.135686, -0.126188, -0.177841, -0.224055, -0.241423, -0.093058, 0.036796, 0.135255, 0.178776, 0.187933]"
