epoch_duration,n_epochs,seed,noise_sigma,onset_threshold,onset_threshold_mode,c_high,c_low,expected_dwell,expected_switching_rate,expected_mean_sync,n_wcc_samples,peak_amplitude,dwell_time,switching_rate,mean_synchrony,onset_latency,rise_time,recovery_time,synchrony_entropy,bimodality_coefficient,fraction_above_threshold,inter_peak_cv,first_peak_time,onset_latency_imputed,rise_time_imputed,recovery_time_imputed,onset_defined,rise_defined,recovery_defined
15.0,2,2000,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.9475165403408645,4.684210526315789,3.7436762225969646,0.025873046941320307,29.0,,6.0,4.103163887393735,0.44777890999290443,0.15345699831365936,1.0643208852492598,31.0,29.0,30.0,6.0,1.0,0.0,1.0
15.0,2,2001,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.8791964743033698,4.368421052631579,3.7436762225969646,0.0821401887223701,16.0,4.0,3.0,4.10816682427496,0.4757835023228373,0.163575042158516,1.1915930703678126,4.0,16.0,4.0,3.0,1.0,1.0,1.0
15.0,2,2002,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.9524727623956144,5.235294117647059,3.338954468802698,0.09283788574321857,28.0,,2.0,4.1227813911192746,0.42877230759011753,0.16526138279932545,1.2128010268135785,28.0,28.0,30.0,2.0,1.0,0.0,1.0
15.0,2,2003,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.9521453519686061,4.588235294117647,3.338954468802698,0.04430106112429543,26.0,2.0,5.0,4.084895051986988,0.43071937912734054,0.13490725126475547,1.169299090060198,3.0,26.0,2.0,5.0,1.0,1.0,1.0
15.0,2,2004,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.922368408700577,4.2727272727272725,4.350758853288364,0.09253523257803625,25.0,2.0,7.0,4.101358383126834,0.4387711868948755,0.16694772344013492,1.127575044937899,2.0,25.0,2.0,7.0,1.0,1.0,1.0
15.0,2,2005,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.988202208345252,4.1923076923076925,5.059021922428331,0.11335106502627583,30.0,,8.0,4.040554586173783,0.49410168394468296,0.1973018549747049,1.0796037324189025,21.0,30.0,30.0,8.0,1.0,0.0,1.0
15.0,2,2006,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.9153700218442905,4.055555555555555,3.642495784148398,0.0380100414360534,2.0,1.0,3.0,4.096195444130131,0.4413147412389603,0.12478920741989882,1.102669469089252,7.0,2.0,1.0,3.0,1.0,1.0,1.0
15.0,2,2007,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.9480087950769837,4.4,2.9342327150084317,0.07685357448131809,26.0,,3.0,4.008112155844541,0.3797725495629225,0.12310286677908938,1.2795061022810104,28.0,26.0,30.0,3.0,1.0,0.0,1.0
15.0,2,2008,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.9254801121906037,3.857142857142857,4.148397976391231,0.05642696853435144,17.0,,6.0,4.176847336026951,0.4349380728733437,0.13490725126475547,1.0567787784876301,18.0,17.0,30.0,6.0,1.0,0.0,1.0
15.0,2,2009,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.922331250260609,4.476190476190476,4.148397976391231,0.08963552895361214,12.0,,4.0,4.099352438891065,0.4249059952553075,0.16188870151770657,1.4526679660081503,12.0,12.0,30.0,4.0,1.0,0.0,1.0
15.0,2,2010,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.9685113116790234,5.684210526315789,3.7436762225969646,0.11705057357767211,25.0,4.0,4.0,4.1355593336062935,0.4453509614156192,0.19561551433389546,1.0660554378223301,12.0,25.0,4.0,4.0,1.0,1.0,1.0
15.0,2,2011,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.9438586985910828,6.2,2.9342327150084317,0.07292530836745979,5.0,,5.0,4.087014992522993,0.4386195902053234,0.16526138279932545,1.60855719295892,7.0,5.0,30.0,5.0,1.0,0.0,1.0
15.0,2,2012,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.9921167681430265,4.904761904761905,4.0472175379426645,0.1047672624353051,27.0,,8.0,4.089075111122618,0.4286964437359275,0.1736930860033727,1.4331025819711924,32.0,27.0,30.0,8.0,1.0,0.0,1.0
15.0,2,2013,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.9449020431385857,4.8,3.946037099494098,0.05308097450869927,27.0,4.0,4.0,4.130103507798069,0.4560468295617122,0.17200674536256325,1.039895509029845,5.0,27.0,4.0,4.0,1.0,1.0,1.0
15.0,2,2014,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.966048893624719,4.25,3.136593591905565,-0.0019282008852918714,24.0,,4.0,4.097924098072722,0.4335054856959046,0.12310286677908938,1.1320534597004503,7.0,24.0,30.0,4.0,1.0,0.0,1.0
15.0,2,2015,0.3,0.5,fixed,0.8,0.15,15.0,2.0,0.47500000000000003,593,0.9247180017016734,4.105263157894737,3.7436762225969646,0.05538422136508049,28.0,,6.0,4.088265891200251,0.40511318583488676,0.1467116357504216,1.126554274395957,17.0,28.0,30.0,6.0,1.0,0.0,1.0
