condition,dyad,behavioral_sync_s,ibi_corr,eda_corr,peak_amplitude,dwell_time,switching_rate,mean_synchrony,synchrony_entropy,bimodality_coefficient
sync_high_seg_high,11,0.6,0.1182,0.5165,0.9307,11.5,1.33,0.4208,4.049,0.5453
sync_high_seg_high,12,0.7,0.0895,0.763,0.9364,31.75,1.33,0.6417,3.905,0.6189
sync_high_seg_high,13,0.9,0.209,0.5129,0.9818,90.5,0.0,0.8925,3.44,0.6202
sync_high_seg_high,14,0.8,0.0287,0.44,0.9766,38.75,1.33,0.7521,3.626,0.6269
sync_high_seg_high,15,0.8,0.0184,0.4259,0.9469,37.75,1.99,0.7032,3.447,0.5182
sync_high_seg_high,16,0.7,0.2511,0.7215,0.8885,27.5,1.33,0.6107,3.98,0.6667
sync_high_seg_high,17,0.5,0.1261,0.4366,0.7938,50.0,0.66,0.4398,3.493,0.8207
sync_high_seg_high,18,0.8,0.1615,0.4806,0.9815,25.33,2.65,0.7136,4.03,0.5013
sync_high_seg_high,19,0.8,0.0629,0.7841,0.9828,38.0,1.33,0.7365,3.771,0.5818
sync_high_seg_high,20,0.6,0.3456,0.6064,0.9098,18.67,2.65,0.5023,3.907,0.5647
sync_high_seg_high,21,0.9,0.2348,0.4851,0.9799,90.5,0.0,0.8936,3.058,0.7668
sync_high_seg_high,22,0.7,0.2753,0.4984,0.8992,72.0,0.66,0.7484,2.662,0.8403
sync_high_seg_high,23,0.6,0.0398,0.7577,0.8079,29.5,1.33,0.5678,3.862,0.7356
sync_high_seg_high,24,0.4,0.0048,0.632,0.8032,17.0,0.66,0.2844,3.933,0.5614
sync_high_seg_high,25,0.5,0.1057,0.5541,0.6746,13.67,2.65,0.4712,3.808,0.431
sync_high_seg_high,26,0.7,0.2627,0.499,0.9457,39.0,1.33,0.6617,4.039,0.4404
sync_high_seg_high,27,0.8,0.2764,0.6052,0.9916,67.0,0.66,0.729,2.798,0.8555
sync_high_seg_high,28,0.2,0.0255,0.6184,0.5207,,0.0,0.1851,4.071,0.4249
sync_high_seg_high,29,0.8,0.239,0.7125,0.9928,90.5,0.0,0.7642,3.939,0.4844
sync_high_seg_high,30,0.6,0.2342,0.4912,0.8769,64.5,0.66,0.5788,3.965,0.6019
sync_high_seg_high,31,0.5,0.1866,0.395,0.8046,16.0,1.99,0.441,3.929,0.6225
sync_high_seg_high,32,0.8,0.1312,0.5446,0.9356,27.33,2.65,0.6512,3.328,0.2279
sync_high_seg_high,33,0.8,0.0332,0.55,0.9573,90.5,0.0,0.7604,3.97,0.6313
sync_high_seg_high,34,0.8,0.1708,0.4023,0.9935,24.17,2.65,0.6471,3.866,0.4845
sync_high_seg_high,35,0.5,0.1515,0.4385,0.7943,40.0,1.33,0.4593,4.16,0.5818
sync_high_seg_high,36,0.8,0.1637,0.7,0.9057,36.25,1.33,0.684,3.711,0.6711
sync_high_seg_high,37,0.9,0.1486,0.4558,0.9994,43.75,1.33,0.8008,3.793,0.5793
sync_high_seg_high,38,0.7,0.0504,0.5677,0.878,38.5,1.33,0.6925,3.681,0.5682
sync_high_seg_high,39,0.8,0.0013,0.4382,0.9907,29.75,1.33,0.6532,3.711,0.6991
sync_high_seg_high,40,0.7,0.1815,0.3982,0.9733,31.0,1.33,0.6161,4.041,0.5533
sync_high_seg_high,41,0.6,0.0205,0.7316,0.7614,34.5,1.99,0.5686,3.558,0.4845
sync_high_seg_high,42,0.6,0.148,0.613,0.7906,34.0,0.66,0.4985,3.827,0.7402
sync_high_seg_high,43,0.8,0.1064,0.4584,0.9871,90.5,0.0,0.8015,3.916,0.6546
sync_high_seg_high,44,0.8,0.0754,0.3686,0.9739,25.5,2.65,0.7183,3.807,0.5651
sync_high_seg_high,45,0.8,0.1275,0.6871,0.9374,20.0,2.65,0.6235,3.972,0.6229
sync_high_seg_low,0,1.0,0.0065,0.5385,0.9995,90.5,0.0,0.9993,3.94,0.4889
sync_high_seg_low,1,1.0,0.4652,0.6695,0.9983,90.5,0.0,0.9798,2.559,0.8856
sync_high_seg_low,2,1.0,0.0727,0.5757,0.9985,90.5,0.0,0.992,1.798,0.9388
sync_high_seg_low,3,1.0,0.2693,0.4435,0.9991,90.5,0.0,0.9987,4.124,0.4787
sync_high_seg_low,4,1.0,0.214,0.6218,0.9987,90.5,0.0,0.9914,2.008,0.9237
sync_high_seg_low,5,1.0,0.1432,0.7255,0.9997,90.5,0.0,0.9948,2.229,0.9262
sync_high_seg_low,6,1.0,0.0212,0.6414,0.999,90.5,0.0,0.9951,2.707,0.8592
sync_high_seg_low,7,1.0,0.0382,0.6136,0.9957,90.5,0.0,0.9879,2.954,0.8893
sync_high_seg_low,8,1.0,0.218,0.5282,0.997,90.5,0.0,0.9961,4.051,0.6305
sync_high_seg_low,9,1.0,0.0381,0.4987,0.9996,90.5,0.0,0.9941,2.733,0.8462
sync_high_seg_low,10,1.0,0.0354,0.4643,0.9991,90.5,0.0,0.9958,1.812,0.9477
sync_high_seg_low,11,1.0,0.1313,0.5428,0.9994,90.5,0.0,0.9913,2.598,0.8576
sync_high_seg_low,12,1.0,0.038,0.6224,0.9992,90.5,0.0,0.9899,1.602,0.9344
sync_high_seg_low,13,1.0,0.2318,0.6208,1.0,90.5,0.0,0.9969,1.412,0.9362
sync_high_seg_low,14,1.0,0.0373,0.5697,0.9981,90.5,0.0,0.9936,2.915,0.8865
sync_high_seg_low,15,1.0,0.2479,0.4546,0.9997,90.5,0.0,0.9929,2.22,0.9013
sync_high_seg_low,16,1.0,0.2225,0.4147,0.9999,90.5,0.0,0.9999,3.973,0.4395
sync_high_seg_low,17,1.0,0.1148,0.5661,0.9995,90.5,0.0,0.9993,3.971,0.4756
sync_high_seg_low,18,1.0,0.1766,0.4326,1.0,90.5,0.0,0.9942,1.618,0.9318
sync_high_seg_low,19,1.0,0.2557,0.7031,0.9991,90.5,0.0,0.9985,4.087,0.4313
sync_high_seg_low,20,1.0,0.2396,0.6452,0.9991,90.5,0.0,0.9981,2.084,0.9445
sync_high_seg_low,21,1.0,0.0076,0.6134,0.9999,90.5,0.0,0.9999,4.018,0.5189
sync_high_seg_low,22,1.0,0.2734,0.5944,0.999,90.5,0.0,0.9985,3.827,0.4222
sync_high_seg_low,23,1.0,0.0968,0.445,0.9993,90.5,0.0,0.9989,4.125,0.494
sync_high_seg_low,24,1.0,0.0752,0.5889,0.9991,90.5,0.0,0.9988,4.179,0.461
sync_high_seg_low,25,1.0,0.2115,0.4362,0.9998,90.5,0.0,0.9997,3.862,0.501
sync_high_seg_low,26,1.0,0.145,0.5912,0.9993,90.5,0.0,0.981,2.398,0.891
sync_high_seg_low,27,1.0,0.1835,0.7086,0.9981,90.5,0.0,0.9976,4.054,0.4662
sync_high_seg_low,28,1.0,0.181,0.545,0.9994,90.5,0.0,0.9937,2.272,0.9267
sync_high_seg_low,29,1.0,0.2903,0.6118,0.9989,90.5,0.0,0.9986,3.832,0.3225
sync_high_seg_low,30,1.0,0.0348,0.4967,0.9984,90.5,0.0,0.9979,4.093,0.5896
sync_high_seg_low,31,1.0,0.059,0.6391,0.9998,90.5,0.0,0.9975,1.405,0.9332
sync_high_seg_low,32,1.0,0.0723,0.3652,0.9995,90.5,0.0,0.9994,4.02,0.5519
sync_high_seg_low,33,1.0,0.0064,0.5376,0.9992,90.5,0.0,0.9965,1.73,0.9459
sync_high_seg_low,34,1.0,0.224,0.5642,0.9991,90.5,0.0,0.9988,3.914,0.4209
sync_high_seg_low,35,1.0,0.0797,0.7641,0.9981,90.5,0.0,0.9975,3.879,0.3388
sync_high_seg_low,36,1.0,0.3036,0.6991,1.0,90.5,0.0,1.0,4.062,0.5864
sync_high_seg_low,37,1.0,0.0355,0.5415,0.9996,90.5,0.0,0.9993,3.8,0.5376
