onset_delay,rise_duration,decay_duration,plateau_duration,seed,noise_sigma,onset_threshold,c_baseline,c_peak,expected_onset_latency,expected_rise_time,expected_recovery_time,expected_dwell_approx,n_wcc_samples,peak_amplitude,dwell_time,switching_rate,mean_synchrony,onset_latency,rise_time,recovery_time,synchrony_entropy,bimodality_coefficient,fraction_above_threshold,inter_peak_cv,first_peak_time,onset_latency_imputed,rise_time_imputed,recovery_time_imputed,onset_defined,rise_defined,recovery_defined,_params
10.0,5.0,10.0,60.0,3010,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9722323099291601,6.470588235294118,6.891891891891891,0.18926197379833515,5.0,11.0,7.0,4.156676762318956,0.5683333288124484,0.3547297297297297,1.2305331715581296,1.0,5.0,11.0,7.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3011,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.979422866386824,5.105263157894737,7.702702702702703,0.20205293371562544,14.0,2.0,6.0,4.184198549968169,0.522938842234519,0.33783783783783783,0.9518119278229003,5.0,14.0,2.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3012,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9949900012410289,4.619047619047619,8.513513513513512,0.18178384967784436,1.0,1.0,17.0,4.19227740640916,0.5367081446228508,0.33783783783783783,0.8416576422783527,3.0,1.0,1.0,17.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3013,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9871705956581511,5.421052631578948,7.702702702702703,0.15426114954142903,3.0,8.0,4.0,4.179335141181572,0.6000738438810483,0.35135135135135137,0.9933596496312522,4.0,3.0,8.0,4.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3014,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9920920279519067,6.5625,6.283783783783783,0.22369952079448535,7.0,,4.0,4.136709127097405,0.5374733918959291,0.3614864864864865,1.1236677441251721,8.0,7.0,30.0,4.0,1,0,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3015,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9840607515323507,5.7368421052631575,7.5,0.2217851080411132,10.0,1.0,5.0,4.163896203908604,0.5559956709366874,0.38175675675675674,0.886844462554725,12.0,10.0,1.0,5.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3016,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9816707019203892,6.8,6.081081081081081,0.18245574474525855,10.0,3.0,6.0,4.217198544484181,0.5515293012093707,0.35135135135135137,0.9572936156854238,10.0,10.0,3.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3017,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9888884552661474,6.6,5.878378378378378,0.14825936018839372,9.0,,4.0,4.190553198089748,0.5687226581489296,0.34459459459459457,1.0629773766513337,11.0,9.0,30.0,4.0,1,0,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3018,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9904519521038528,7.0,6.486486486486486,0.2523954330518312,11.0,1.0,6.0,4.126111193883884,0.5484600070943529,0.3783783783783784,1.1716220729563143,14.0,11.0,1.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3019,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9825804008987777,5.944444444444445,7.297297297297297,0.1802902259950524,9.0,1.0,6.0,4.19213793505329,0.5834673301757309,0.36824324324324326,1.1931943041506199,10.0,9.0,1.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
