pair,step,auc,delta_auc,generator
single_peak_vs_asymmetric_decay,+ Dwell Time,1.0,7.999999999996898e-05,whitebox
single_peak_vs_asymmetric_decay,+ Switching Rate,1.0,0.0,whitebox
single_peak_vs_asymmetric_decay,+ Onset Latency,1.0,0.0,whitebox
single_peak_vs_asymmetric_decay,+ Recovery Time,1.0,0.0,whitebox
single_peak_vs_asymmetric_decay,+ Rise Time,1.0,0.0,whitebox
single_peak_vs_asymmetric_decay,+ Entropy,1.0,0.0,whitebox
oscillatory_vs_asymmetric_decay,Mean WCC,0.5,0.5,whitebox
oscillatory_vs_asymmetric_decay,+ Peak Amplitude,0.4772,-0.022799999999999987,whitebox
oscillatory_vs_asymmetric_decay,+ Dwell Time,0.7738400000000001,0.29664000000000007,whitebox
oscillatory_vs_asymmetric_decay,+ Switching Rate,0.8948799999999999,0.12103999999999981,whitebox
oscillatory_vs_asymmetric_decay,+ Onset Latency,0.9972,0.10232000000000008,whitebox
oscillatory_vs_asymmetric_decay,+ Recovery Time,0.9977599999999999,0.0005599999999998939,whitebox
oscillatory_vs_asymmetric_decay,+ Rise Time,0.9973600000000001,-0.0003999999999997339,whitebox
oscillatory_vs_asymmetric_decay,+ Entropy,0.9972799999999999,-8.000000000019103e-05,whitebox
