label,n_features,fold_aucs,auc_mean
baseline (mean_sync),1,"[0.75, 0.4444, 1.0, 0.8889, 0.5]",0.7167
+peak_amplitude,2,"[0.9722, 1.0, 1.0, 1.0, 0.8889]",0.9722
+dwell_time,3,"[0.8333, 1.0, 1.0, 1.0, 0.8611]",0.9389
+switching_rate,4,"[0.8333, 1.0, 1.0, 1.0, 0.8611]",0.9389
