id,dyad,modality,condition,hz,n_wcc_points,obs_dwell_time,obs_switching_rate,p_dwell_time,p_switching_rate,n_surrogates,null_model
pce09__EDA__trials_concat,pce09,EDA,trials_concat,1.0,1051,29.733333333333334,1.7126546146527117,0.816,1.0,499,iaaft
pce09__RESP__rest1,pce09,RESP,rest1,1.0,131,,0.0,1.0,1.0,499,iaaft
pce09__RESP__trials_concat,pce09,RESP,trials_concat,1.0,1051,,0.0,1.0,1.0,499,iaaft
pce10__ECG__rest1,pce10,ECG,rest1,1.0,151,4.0,0.794701986754967,0.824,1.0,499,iaaft
pce10__ECG__trials_concat,pce10,ECG,trials_concat,1.0,1051,19.142857142857142,0.7992388201712655,0.012,0.012,499,iaaft
pce10__EDA__rest1,pce10,EDA,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce10__EDA__trials_concat,pce10,EDA,trials_concat,1.0,1051,42.30769230769231,1.4843006660323501,0.284,0.484,499,iaaft
pce10__RESP__rest1,pce10,RESP,rest1,1.0,151,20.0,0.3973509933774835,0.016,0.004,499,iaaft
pce10__RESP__trials_concat,pce10,RESP,trials_concat,1.0,1051,8.0,0.11417697431018078,0.62,0.436,499,iaaft
pce11__ECG__rest1,pce11,ECG,rest1,1.0,151,8.5,1.1920529801324504,0.948,0.58,499,iaaft
pce11__ECG__trials_concat,pce11,ECG,trials_concat,1.0,1051,11.785714285714286,1.598477640342531,0.196,0.24,499,iaaft
pce11__EDA__rest1,pce11,EDA,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce11__EDA__trials_concat,pce11,EDA,trials_concat,1.0,1051,29.0,0.570884871550904,0.04,0.048,499,iaaft
pce11__RESP__rest1,pce11,RESP,rest1,1.0,151,25.0,0.794701986754967,0.564,1.0,499,iaaft
pce11__RESP__trials_concat,pce11,RESP,trials_concat,1.0,1051,8.6,0.570884871550904,0.2,0.28,499,iaaft
pce12__ECG__rest1,pce12,ECG,rest1,1.0,151,4.0,1.1920529801324504,0.852,0.612,499,iaaft
pce12__ECG__trials_concat,pce12,ECG,trials_concat,1.0,1051,12.5,1.141769743101808,0.244,0.568,499,iaaft
pce12__EDA__rest1,pce12,EDA,rest1,1.0,151,4.0,0.794701986754967,0.5,0.852,499,iaaft
pce12__EDA__trials_concat,pce12,EDA,trials_concat,1.0,1051,23.714285714285715,0.7992388201712655,0.276,0.38,499,iaaft
pce12__RESP__rest1,pce12,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce12__RESP__trials_concat,pce12,RESP,trials_concat,1.0,1051,2.0,0.11417697431018078,0.576,1.0,499,iaaft
pce13__ECG__rest1,pce13,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce13__ECG__trials_concat,pce13,ECG,trials_concat,1.0,1051,21.583333333333332,1.3701236917221695,0.004,0.004,499,iaaft
pce13__EDA__rest1,pce13,EDA,rest1,1.0,151,9.5,1.589403973509934,0.612,0.88,499,iaaft
pce13__EDA__trials_concat,pce13,EDA,trials_concat,1.0,1051,33.75,1.7126546146527117,0.56,0.388,499,iaaft
pce13__RESP__rest1,pce13,RESP,rest1,1.0,151,8.0,0.794701986754967,0.976,1.0,499,iaaft
pce13__RESP__trials_concat,pce13,RESP,trials_concat,1.0,1051,18.0,0.45670789724072314,0.96,1.0,499,iaaft
pce14__ECG__rest1,pce14,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce14__ECG__trials_concat,pce14,ECG,trials_concat,1.0,1051,17.5,0.45670789724072314,0.124,0.136,499,iaaft
pce14__EDA__rest1,pce14,EDA,rest1,1.0,151,41.0,0.794701986754967,0.608,1.0,499,iaaft
pce14__EDA__trials_concat,pce14,EDA,trials_concat,1.0,1051,28.3125,1.8268315889628925,0.88,1.0,499,iaaft
pce14__RESP__rest1,pce14,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce14__RESP__trials_concat,pce14,RESP,trials_concat,1.0,1051,23.0,0.11417697431018078,0.068,0.16,499,iaaft
pce15__ECG__rest1,pce15,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce15__ECG__trials_concat,pce15,ECG,trials_concat,1.0,1051,5.25,0.45670789724072314,0.604,0.828,499,iaaft
pce15__EDA__rest1,pce15,EDA,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce15__EDA__trials_concat,pce15,EDA,trials_concat,1.0,1051,27.454545454545453,1.2559467174119887,0.436,0.72,499,iaaft
pce15__RESP__rest1,pce15,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce15__RESP__trials_concat,pce15,RESP,trials_concat,1.0,1051,10.2,0.570884871550904,0.984,1.0,499,iaaft
pce16__ECG__rest1,pce16,ECG,rest1,1.0,151,10.0,1.589403973509934,0.496,0.956,499,iaaft
pce16__ECG__trials_concat,pce16,ECG,trials_concat,1.0,1051,20.58823529411765,1.9410085632730734,0.008,0.012,499,iaaft
pce16__EDA__rest1,pce16,EDA,rest1,1.0,151,8.0,0.794701986754967,0.016,1.0,499,iaaft
pce16__EDA__trials_concat,pce16,EDA,trials_concat,1.0,1051,26.2,1.7126546146527117,0.252,0.324,499,iaaft
pce16__RESP__rest1,pce16,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce16__RESP__trials_concat,pce16,RESP,trials_concat,1.0,1051,14.75,0.39961941008563273,0.844,0.852,499,iaaft
pce17__ECG__rest1,pce17,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce17__ECG__trials_concat,pce17,ECG,trials_concat,1.0,1051,21.0,0.7992388201712655,0.008,0.008,499,iaaft
pce17__EDA__rest1,pce17,EDA,rest1,1.0,151,22.0,0.794701986754967,0.244,0.572,499,iaaft
pce17__EDA__trials_concat,pce17,EDA,trials_concat,1.0,1051,53.3,1.141769743101808,0.044,0.112,499,iaaft
pce17__RESP__rest1,pce17,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce17__RESP__trials_concat,pce17,RESP,trials_concat,1.0,1051,,0.0,1.0,1.0,499,iaaft
pce18__ECG__rest1,pce18,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce18__ECG__trials_concat,pce18,ECG,trials_concat,1.0,1051,18.933333333333334,1.7126546146527117,0.004,0.004,499,iaaft
pce18__EDA__rest1,pce18,EDA,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce18__EDA__trials_concat,pce18,EDA,trials_concat,1.0,1051,17.875,0.8563273073263559,0.788,0.668,499,iaaft
pce18__RESP__rest1,pce18,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce18__RESP__trials_concat,pce18,RESP,trials_concat,1.0,1051,,0.0,1.0,1.0,499,iaaft
pce19__ECG__rest1,pce19,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce19__ECG__trials_concat,pce19,ECG,trials_concat,1.0,1051,14.875,0.9134157944814463,0.208,0.312,499,iaaft
pce19__EDA__rest1,pce19,EDA,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce19__EDA__trials_concat,pce19,EDA,trials_concat,1.0,1051,28.9,1.141769743101808,0.672,1.0,499,iaaft
pce19__RESP__rest1,pce19,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce19__RESP__trials_concat,pce19,RESP,trials_concat,1.0,1051,23.75,0.45670789724072314,0.444,0.928,499,iaaft
pce20__ECG__rest1,pce20,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce20__ECG__trials_concat,pce20,ECG,trials_concat,1.0,1051,18.142857142857142,0.7992388201712655,0.032,0.036,499,iaaft
pce20__EDA__rest1,pce20,EDA,rest1,1.0,151,11.0,0.3973509933774835,0.268,0.012,499,iaaft
pce20__EDA__trials_concat,pce20,EDA,trials_concat,1.0,1051,22.0,2.055185537583254,0.792,0.684,499,iaaft
pce20__RESP__rest1,pce20,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce20__RESP__trials_concat,pce20,RESP,trials_concat,1.0,1051,,0.0,1.0,1.0,499,iaaft
pce21__ECG__rest1,pce21,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce21__ECG__trials_concat,pce21,ECG,trials_concat,1.0,1051,11.625,0.9134157944814463,0.152,0.224,499,iaaft
pce21__EDA__rest1,pce21,EDA,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce21__EDA__trials_concat,pce21,EDA,trials_concat,1.0,1051,12.0,0.7992388201712655,0.56,0.88,499,iaaft
pce21__RESP__rest1,pce21,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce21__RESP__trials_concat,pce21,RESP,trials_concat,1.0,1051,6.0,0.11417697431018078,0.848,1.0,499,iaaft
pce22__ECG__rest1,pce22,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce22__ECG__trials_concat,pce22,ECG,trials_concat,1.0,1051,14.181818181818182,1.2559467174119887,0.016,0.028,499,iaaft
pce22__EDA__rest1,pce22,EDA,rest1,1.0,151,19.5,1.589403973509934,0.636,1.0,499,iaaft
pce22__EDA__trials_concat,pce22,EDA,trials_concat,1.0,1051,17.0,1.027592768791627,0.484,0.5,499,iaaft
pce22__RESP__rest1,pce22,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce22__RESP__trials_concat,pce22,RESP,trials_concat,1.0,1051,12.333333333333334,0.3425309229305424,0.532,1.0,499,iaaft
pce23__ECG__rest1,pce23,ECG,rest1,1.0,151,23.0,0.794701986754967,0.192,0.352,499,iaaft
pce23__ECG__trials_concat,pce23,ECG,trials_concat,1.0,1051,12.5,1.3701236917221695,0.188,0.544,499,iaaft
pce23__EDA__rest1,pce23,EDA,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce23__EDA__trials_concat,pce23,EDA,trials_concat,1.0,1051,49.22222222222222,1.027592768791627,0.004,0.012,499,iaaft
pce23__RESP__rest1,pce23,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce23__RESP__trials_concat,pce23,RESP,trials_concat,1.0,1051,18.0,0.6850618458610848,0.604,0.912,499,iaaft
pce24__EDA__rest1,pce24,EDA,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce24__EDA__trials_concat,pce24,EDA,trials_concat,1.0,1051,33.0,1.313035204567079,0.368,0.364,499,iaaft
pce24__RESP__rest1,pce24,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce24__RESP__trials_concat,pce24,RESP,trials_concat,1.0,1051,12.25,0.45670789724072314,0.472,0.736,499,iaaft
pce25__ECG__rest1,pce25,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce25__ECG__trials_concat,pce25,ECG,trials_concat,1.0,1051,21.7,1.141769743101808,0.012,0.02,499,iaaft
pce25__EDA__rest1,pce25,EDA,rest1,1.0,151,27.666666666666668,1.9867549668874174,0.568,0.492,499,iaaft
pce25__EDA__trials_concat,pce25,EDA,trials_concat,1.0,1051,22.2,1.141769743101808,0.044,0.108,499,iaaft
pce25__RESP__rest1,pce25,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce25__RESP__trials_concat,pce25,RESP,trials_concat,1.0,1051,14.0,0.22835394862036157,0.524,0.548,499,iaaft
pce26__EDA__rest1,pce26,EDA,rest1,1.0,141,,0.0,1.0,1.0,499,iaaft
pce26__EDA__trials_concat,pce26,EDA,trials_concat,1.0,1051,30.272727272727273,1.2559467174119887,0.288,0.48,499,iaaft
pce26__RESP__rest1,pce26,RESP,rest1,1.0,141,,0.0,1.0,1.0,499,iaaft
pce26__RESP__trials_concat,pce26,RESP,trials_concat,1.0,1051,7.333333333333333,0.3425309229305424,0.608,0.632,499,iaaft
pce27__ECG__rest1,pce27,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce27__ECG__trials_concat,pce27,ECG,trials_concat,1.0,1051,14.333333333333334,1.027592768791627,0.08,0.096,499,iaaft
pce27__EDA__rest1,pce27,EDA,rest1,1.0,151,14.5,1.589403973509934,0.492,0.944,499,iaaft
pce27__EDA__trials_concat,pce27,EDA,trials_concat,1.0,1051,39.57142857142857,0.7992388201712655,0.012,0.016,499,iaaft
pce27__RESP__rest1,pce27,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce27__RESP__trials_concat,pce27,RESP,trials_concat,1.0,1051,15.75,0.45670789724072314,0.328,0.56,499,iaaft
pce28__ECG__rest1,pce28,ECG,rest1,1.0,151,12.0,0.794701986754967,0.072,0.692,499,iaaft
pce28__ECG__trials_concat,pce28,ECG,trials_concat,1.0,1051,18.0,0.570884871550904,0.004,0.004,499,iaaft
pce28__EDA__rest1,pce28,EDA,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce28__EDA__trials_concat,pce28,EDA,trials_concat,1.0,1051,32.0,1.3701236917221695,0.028,0.028,499,iaaft
pce28__RESP__rest1,pce28,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce28__RESP__trials_concat,pce28,RESP,trials_concat,1.0,1051,,0.0,1.0,1.0,499,iaaft
