mean,std,max,min,range,median,iqr,skewness,kurtosis,frac_above_0.5,frac_above_0,frac_below_0,n_peaks,inter_peak_cv,n_transitions,switching_rate,autocorr_lag1,mean_dwell,max_dwell,bimodality_coeff,dataset,trace_id,modality,condition
0.1418641456953642,0.21388218155496724,0.62565,-0.226056,0.8517060000000001,0.097389,0.3459135,0.3475240159480741,-0.9906882412465339,0.046357615894039736,0.6291390728476821,0.3708609271523179,8,0.2589444916954676,4,0.02666666666666667,0.9764279410745936,3.5,6.0,0.5413685688133641,lerique,pce01__RESP__rest1,RESP,rest1
0.03249295813510942,0.17722009094460336,0.408426,-0.495674,0.9041,0.043419,0.22187649999999998,-0.556667263249979,0.3632393215713896,0.0,0.6194100856327307,0.38058991436726924,49,0.5841498354508858,0,0.0,0.9554358333629513,0.0,0.0,0.3884770303983779,lerique,pce01__RESP__trials_concat,RESP,trials_concat
-0.017682152317880794,0.17989619005985086,0.332066,-0.405853,0.737919,-0.024824,0.264242,-0.19856788863791297,-0.702652424667336,0.0,0.4370860927152318,0.5629139072847682,7,0.2032789070454244,0,0.0,0.9580986750535685,0.0,0.0,0.44075463774050216,lerique,pce02__ECG__rest1,ECG,rest1
0.1373957840152236,0.3472846409038173,0.825801,-0.726159,1.55196,0.121325,0.511606,-0.07828788951138813,-0.7934461343254386,0.1560418648905804,0.6232159847764034,0.37678401522359656,45,0.5827188848997882,30,0.02857142857142857,0.9699642471254237,10.933333333333334,30.0,0.4542047021216052,lerique,pce02__ECG__trials_concat,ECG,trials_concat
0.002321754966887421,0.19813408782936087,0.597041,-0.444705,1.041746,-0.030132,0.2260975,0.4769306416174417,0.6170539689593864,0.026490066225165563,0.46357615894039733,0.5364238410596026,4,0.7658627353532854,2,0.013333333333333334,0.9625409623732643,4.0,4.0,0.33373098494724424,lerique,pce02__EDA__rest1,EDA,rest1
0.4225804881065652,0.4332215798443174,0.993936,-0.699835,1.693771,0.450916,0.6278725,-0.7020557344554502,-0.3305000687835258,0.4652711703139867,0.8420551855375833,0.15794481446241673,35,0.5104824311760057,35,0.03333333333333333,0.9864033839371652,27.166666666666668,98.0,0.557442806426846,lerique,pce02__EDA__trials_concat,EDA,trials_concat
-0.20321814569536426,0.21250628391372015,0.225473,-0.574133,0.799606,-0.20005,0.30212849999999997,0.0025291575877139875,-0.9538720769358804,0.0,0.1986754966887417,0.8013245033112583,4,0.6409425026214449,0,0.0,0.976126439361777,0.0,0.0,0.4745946408967773,lerique,pce02__RESP__rest1,RESP,rest1
0.03230414367269267,0.2903594298569788,0.746351,-0.634601,1.380952,0.028762,0.3651195,0.03100402732862401,-0.23248035471284956,0.0675547098001903,0.5347288296860133,0.4652711703139867,39,0.5683033944534158,20,0.01904761904761905,0.9861352834969839,7.1,18.0,0.36056251080347673,lerique,pce02__RESP__trials_concat,RESP,trials_concat
-0.10119405960264903,0.20370609098388892,0.276201,-0.552952,0.829153,-0.101515,0.30452,-0.14113424572652147,-0.8223960539647437,0.0,0.3708609271523179,0.6291390728476821,7,0.627070928780741,0,0.0,0.9566256596630407,0.0,0.0,0.45561569378055816,lerique,pce03__ECG__rest1,ECG,rest1
0.12595722645099905,0.36338333440520076,0.821823,-0.710439,1.532262,0.148872,0.5558335,-0.2605364256786509,-0.6439724167165073,0.13891531874405327,0.6384395813510942,0.3615604186489058,44,0.5806971411786073,32,0.030476190476190476,0.9620829229805249,9.125,42.0,0.4516074836006065,lerique,pce03__ECG__trials_concat,ECG,trials_concat
0.0866627682119205,0.36763377416498694,0.634077,-0.709657,1.343734,0.195468,0.4495485,-0.7091978567477132,-0.5623895386733366,0.152317880794702,0.695364238410596,0.304635761589404,6,0.8262803748198589,1,0.006666666666666667,0.9863741227299585,23.0,23.0,0.601531768537737,lerique,pce03__EDA__rest1,EDA,rest1
-0.04574694005708849,0.44224199146873167,0.903223,-0.96776,1.8709829999999998,0.033602,0.5528835,-0.30160686782857965,-0.4678114343339601,0.10561370123691723,0.5223596574690771,0.4776403425309229,32,0.6541740487414494,18,0.017142857142857144,0.9864784424198201,12.333333333333334,30.0,0.42938274758439077,lerique,pce03__EDA__trials_concat,EDA,trials_concat
0.0033966887417218538,0.08207393946941464,0.223812,-0.199885,0.423697,0.003367,0.1200935,0.2546190009173899,-0.1274977405125246,0.0,0.5364238410596026,0.46357615894039733,9,0.3295323728892917,0,0.0,0.8319720816918325,0.0,0.0,0.3629961846394559,lerique,pce03__RESP__rest1,RESP,rest1
-0.034041743101807805,0.1647135228594834,0.46281,-0.589033,1.051843,-0.021986,0.1749865,-0.4942967594648681,1.251035696124033,0.0,0.4319695528068506,0.5680304471931494,58,0.6043935766195268,0,0.0,0.954081653477714,0.0,0.0,0.2921217085027441,lerique,pce03__RESP__trials_concat,RESP,trials_concat
0.25989586092715233,0.18436376441054572,0.643199,-0.185852,0.829051,0.257765,0.20438,-0.19258975336885542,0.08422501025860951,0.09933774834437085,0.9072847682119205,0.09271523178807947,6,0.384950233823537,2,0.013333333333333334,0.9735375990800728,15.0,15.0,0.3297405859606698,lerique,pce04__ECG__rest1,ECG,rest1
