id,true_shape,shape_above_ratio,shape_n_episodes,shape_n_peaks,shape_peak_asymmetry,shape_wcc_std,shape_wcc_range,shape_frac_negative,shape_autocorr_lag1,mean_synchrony,peak_amplitude,dwell_time,switching_rate,bimodality_coefficient,synchrony_entropy,onset_latency,rise_time,recovery_time
pce01__RESP__rest1,,0.046357615894039736,2.0,1.0,1.380952380952381,0.2131727859637381,0.8517060000000001,0.3708609271523179,0.9764279410745936,0.1418641456953642,0.59942,12.0,0.794701986754967,0.5577894703388292,4.1181231510398675,151.0,1.0,4.0
pce01__RESP__trials_concat,,0.0,0.0,0.0,,0.17713576065624784,0.9041,0.38058991436726924,0.9554358333629513,0.03249295813510942,0.39653999999999995,,0.0,0.3894692933603706,3.918777243260646,1051.0,1051.0,1051.0
pce02__ECG__rest1,,0.0,0.0,0.0,,0.17929951780235107,0.737919,0.5629139072847682,0.9580986750535685,-0.017682152317880794,0.295277,,0.0,0.45244751711007664,4.078201174958774,151.0,151.0,151.0
pce02__ECG__trials_concat,,0.1560418648905804,15.0,9.0,0.18181818181818182,0.34711938529564795,1.55196,0.37678401522359656,0.9699642471254237,0.1373957840152236,0.8098863333333333,11.571428571428571,1.598477640342531,0.45597300355800086,4.086126423604139,1051.0,223.0,16.0
pce02__EDA__rest1,,0.026490066225165563,1.0,1.0,1.2222222222222223,0.19747692486535662,1.041746,0.5364238410596026,0.9625409623732643,0.002321754966887421,0.5681776666666667,4.0,0.794701986754967,0.339354305312387,3.781668514768754,151.0,151.0,1.0
pce02__EDA__trials_concat,,0.4652711703139867,18.0,14.0,0.208955223880597,0.4330154310913437,1.693771,0.15794481446241673,0.9864033839371652,0.4225804881065652,0.9878163333333334,33.6,1.6555661274976214,0.5592366708177755,3.9529068417881383,679.0,2.0,31.0
pce02__RESP__rest1,,0.0,0.0,0.0,,0.21180145184299368,0.799606,0.8013245033112583,0.976126439361777,-0.20321814569536426,0.20686599999999997,,0.0,0.48873112250996154,4.16094174499281,151.0,151.0,151.0
pce02__RESP__trials_concat,,0.0675547098001903,10.0,6.0,2.121212121212121,0.29022126214520266,1.380952,0.4652711703139867,0.9861352834969839,0.03230414367269267,0.742483,11.333333333333334,0.6850618458610848,0.3616817143159744,4.0516253470404555,1051.0,138.0,5.0
pce03__ECG__rest1,,0.0,0.0,0.0,,0.20303044702982087,0.829153,0.6291390728476821,0.9566256596630407,-0.10119405960264903,0.24357266666666666,,0.0,0.46836748122804933,4.18249392997219,151.0,151.0,151.0
pce03__ECG__trials_concat,,0.13891531874405327,16.0,10.0,30.0,0.3632104182239109,1.532262,0.3615604186489058,0.9620829229805249,0.12595722645099905,0.7972633333333333,10.846153846153847,1.4843006660323501,0.45325412855190367,4.159071908709855,1051.0,44.0,2.0
pce03__EDA__rest1,,0.152317880794702,1.0,2.0,1.8,0.36641442163789223,1.343734,0.304635761589404,0.9863741227299585,0.0866627682119205,0.6232966666666666,20.0,0.794701986754967,0.6165716893082116,3.841651832265114,151.0,15.0,4.0
pce03__EDA__trials_concat,,0.10561370123691723,9.0,7.0,1.4285714285714286,0.44203155034738534,1.8709829999999998,0.4776403425309229,0.9864784424198201,-0.04574694005708849,0.8809993333333332,17.0,0.6850618458610848,0.43083943965066046,4.020310093918645,1051.0,262.0,3.0
pce03__RESP__rest1,,0.0,0.0,0.0,,0.08180172001480128,0.423697,0.46357615894039733,0.8319720816918325,0.0033966887417218538,0.1973103333333333,,0.0,0.3706979975772627,3.858141107243292,151.0,151.0,151.0
